SSp-n,PA,1.04735430599547e-05
PRNc,AMd,0.001213039
MOs,SSp-bfd,0.0306526865
BLA,MPN,8.2973e-05
PO,RE,0.0030807613
DR,MEA,0.0167150719
ENTl,SCs,0.0002692154
MDRNv,DN,0.007028778
SIM,AUDd,2.03729464451974e-05
PSV,FL,0.0070281645
MOs,CUL,0.0005941198
VISpl,TEa,0.0449797688
PRM,DCO,3.58357544194155e-05
SIM,LSc,9.57794381680236e-05
DN,STN,0.0142658453
MDRNv,SPFp,0.0055968433
SPVO,SPA,0.0006172644
FL,ICc,0.3000725445
SCm,MD,0.0065652222
NTS,SSp-ll,0.0021290388
VISam,RH,0.0125232744
LPO,CM,0.0167913474
AN,PRNc,1.98784419382948e-05
ORBl,VPM,0.0025397143
ENTl,MPO,2.97161704945965e-05
TU,FS,0.0011048676
PRM,PRNr,2.35292465214214e-06
MS,CEA,0.0039333971
ENTl,MEA,0.0013768951
MDRNd,RSPagl,0.0002545074
PG,EPv,0.0008172246
SSp-tr,RT,1.10277278198011e-05
ECT,PL,0.0049559981
PGRNl,PB,0.0546307425
CA1,PERI,0.0004456228
VTA,VTA,0.0288353076
AUDd,ENTl,0.0212049696
AAA,GPi,7.53816313461007e-06
MH,RN,0.0463808854
TU,NPC,0.0208996532
NTS,VM,0.0125707561
VISC,MOp,0.1599613151
MH,PVT,0.0179776474
SPIV,PTLp,0.0002751234
ACAv,PRNc,0.0123715891
DMH,PMd,0.0008295796
TU,MS,0.0693590308
CA3,ACB,0.0049553176
IA,VISpl,0.0011637986
POL,SPA,0.0313952577
AIp,NI,0.0003346299
PG,MA,0.0040984029
PRM,PAA,0.0014266332
NOT,SNc,0.0077547466
CLI,MOs,0.141395847
FN,LD,9.46827603403363e-05
PRM,VPL,2.43408554199918e-06
SIM,SNc,4.93849112843711e-05
PRNc,VPL,0.0019334514
AUDd,PRNc,0.0197441293
ILA,NLL,0.0028898896
NTS,NDB,0.0026649731
VTA,MM,0.0003728491
TRS,SMT,0.0013014216
ARH,PVT,0.151891668
MA,CEA,0.0113708516
CUN,PRNc,0.3233989939
SUBd,SUBd,0.0129329946
RSPagl,AMv,0.0011010757
MM,CLI,0.0189552102
ECT,FS,0.0020059516
SSp-bfd,AId,0.0020800242
ACAd,AN,0.0011776659
SPVO,VPMpc,0.0024862163
SPVC,VM,0.0076713035
VISam,PVp,6.27563200532697e-05
SSp-ul,CEA,0.0043340609
PTLp,CA1,0.0146357587
SOC,MPN,0.0018207419
SSp-n,SSp-m,0.1413425171
DP,PF,0.0064329862
PT,GPe,0.0369194474
VPM,SSp-ul,0.0007827998
MGd,ENTl,0.0047973958
MV,PB,0.0156440409
LP,FRP,0.0004866194
MV,AV,0.0024107089
MPO,PSV,4.04381951456878e-05
AUDd,MDRNv,0.0017393423
DN,GPe,0.000757962
MDRNv,MD,0.0100244327
GPi,SUV,0.0006230892
NTS,CS,0.0022453966
MRN,PRP,0.0021304255
VPL,SCs,0.0120706934
ILA,STN,0.0001050548
VPL,MEPO,0.0019293718
DG,MGv,0.0013691189
TEa,COAa,3.5129e-05
SSs,TU,7.20428346258536e-05
PMd,ARH,0.0127628255
PTLp,ORBm,0.0013585668
SUV,AOB,0.0001152953
SPVI,SIM,0.0493600557
AUDv,AOB,0.0001003415
PRP,SI,0.0036373093
AN,RN,0.0004495303
BMA,PSV,0.0001289263
TRS,VTA,0.02667786
ACAd,ACB,0.0182710393
ENTl,MH,2.41051116217065e-05
SNc,TRN,0.0024853191
VISpl,SBPV,2.25570979112417e-06
POST,SBPV,1.0012e-05
SUBd,PAG,0.0851083131
MEPO,AUDp,0.0002852557
LSc,POL,6.28196230956728e-05
ICe,DR,0.0011894939
IP,PIR,0.0017866758
PSV,PRP,0.004797431
ORBl,NOT,0.0002020625
AMv,ORBl,0.0492146185
MM,PRM,0.0001018881
ACB,BST,0.0006233849
MOp,PRM,0.001089408
CS,CA2,0.0436607174
TEa,ORBl,0.0026098635
XII,COAa,0.0002523327
ICd,CUL,0.0096662468
NDB,TR,0.0069897031
AOB,PRE,0.0005520665
PPN,ORBl,0.0014401626
CS,SMT,0.0030440957
CA3,TRS,0.0563477312
PSV,MRN,0.7210516743
LGv,SPA,0.0107411026
RN,FN,0.0023862288
DP,PH,0.0100481553
RN,PARN,0.4507507879
NOD,PGRNd,0.1816109615
RE,POST,0.0361580662
LRN,LRN,0.0827097332
SSp-ul,FRP,0.0022673043
IA,MOp,0.0208701856
VISC,PP,1.60320861538297e-05
PP,CUN,0.0922865848
PTLp,CA2,0.002214708
AUDv,ACB,0.1038367306
PRM,CA2,0.0002312856
DN,EPd,0.000250095
VPL,NLOT,0.0022693704
DMH,NLL,0.0055159093
CUL,SUBd,0.0001042638
SCs,CA3,0.0095745068
AUDd,NOD,4.36153829919443e-05
PIR,VCO,2.12510874367569e-05
BMA,MEPO,0.0036666993
SPVO,NLOT,0.0006559475
PH,SPFm,0.004167258
MM,VISpm,0.0011090933
VISam,VISam,0.192711885
CS,MOs,0.0536367768
PA,PVpo,0.0052660986
ARH,SBPV,0.2278191073
RE,PAR,0.0432267436
TRS,SSp-ll,0.0075136087
ILA,PERI,0.0008234286
TR,NOD,8.63290380062845e-06
SIM,AUDp,0.0003409978
PAG,AN,0.000231047
IO,SPVC,0.0071398108
PVT,VCO,0.0004153041
NTS,LGv,0.00758042
SCm,VII,0.0108741644
ECT,SBPV,9.70575819010217e-05
TT,MEA,0.0055152877
LPO,VM,0.0017424125
RN,SPVI,0.2028661729
IA,MM,0.003865978
TU,AHN,0.3721174861
PFL,PAA,1.26050890587713e-05
PTLp,MS,0.0009343731
SSp-bfd,SPVI,0.0510172314
SPA,MGv,0.0017625649
AN,VPL,3.25821341488053e-05
PGRNd,ACAd,0.0022547862
MGv,GPe,0.0001811653
STN,VM,0.0842757093
PARN,PB,0.015119269
DG,SSp-n,5.59602953870286e-05
PFL,GU,0.0007192402
STN,PPN,0.0054565388
AN,SCs,0.0004853431
IP,CEA,0.0001407121
RM,LSv,0.000505325
AUDd,VM,0.0001326714
PSV,PRE,8.8879e-05
VISal,LH,5.765e-06
PB,PVpo,0.0007526587
PT,VISp,0.1836999369
DCO,PSV,0.0998236586
MOs,AN,0.0017962547
SPVO,NLL,0.0545155383
IO,SNr,0.0001064125
NLL,ICc,0.2480537509
NLL,IO,0.0066596219
AIv,TRS,0.0001028112
VII,SSs,0.0001877898
IO,PP,0.0040297739
CS,CLA,0.0105263428
PERI,BST,0.0899250348
CUN,CLI,0.0643874815
ACAd,PH,0.0092299181
PCG,LHA,0.0688363684
SPVI,SPVO,0.029738428
VTA,SNc,0.0233763357
VTA,SI,0.3874425066
CA2,RH,0.0013919757
PA,SBPV,0.0028895145
GU,TEa,0.016318251
SCm,V,0.0047741288
ENTl,VCO,7.72467913319392e-05
LSc,GPi,1.58177275896403e-06
MRN,MV,0.0019767387
CLI,AUDp,0.0085532092
XII,RSPv,0.0010581192
MV,RH,0.0007768056
DN,PRE,0.0083681511
VISC,SNr,0.0007629236
SCm,MDRNv,0.0139438947
FRP,ICd,0.0004473885
TR,DCO,6.31833478493629e-05
SSp-bfd,CLA,0.0120442284
NLL,AUDv,0.000278117
CLI,COAp,0.0136197687
GPi,VM,0.0411433434
IO,ORBl,5.16815314603452e-05
SUBd,PERI,0.0003274195
PGRNd,ENTl,0.0023647096
BLA,SSp-n,0.0030342713
MOs,MOB,8.25838825565198e-05
OT,RN,7.0459e-05
PCG,LSv,0.0002087038
NLOT,TU,0.009425518
VM,RR,0.003724844
CS,PVT,0.0072010173
PCG,MRN,0.0778219189
GRN,GRN,0.5076763566
MPT,DMH,0.2174022473
CLA,PVpo,0.0011045635
RSPagl,AON,0.0023857653
APN,NDB,8.90367632945283e-05
CA2,AMB,0.0002398431
SSp-m,CUN,4.02216517576831e-06
PERI,NPC,0.0012354119
MOp,NI,0.0007191541
MA,GPi,5.2660760708941e-05
MH,PF,0.1168408853
CP,POST,8.72406257972883e-05
PSV,DN,0.0008490582
POST,FRP,3.15875528756779e-05
SPA,FL,0.0031309118
SNr,SSp-n,0.0009141144
MOp,NLOT,9.57744815965858e-05
FS,SUBv,0.0004361638
MDRNv,MRN,0.0994720913
CS,ACAd,0.0210170659
LSc,SSp-m,0.0009916728
CS,DR,0.0171228057
SCm,MRN,0.1163755121
NTS,MOB,0.0027308969
FN,GU,0.0010448802
TRN,RN,0.0110102234
PVH,MPT,0.0148821083
SCm,NPC,0.0018146864
SPVO,PIR,0.0006602007
MH,MOB,0.0850644484
NI,CS,1.2578103806
BLA,AIv,0.0638463096
SSp-tr,SUV,0.000265664
TEa,DCO,3.6265689447738e-05
NI,DP,0.0022526673
TRN,STN,0.0015934428
STN,MGm,0.0011045707
SPVI,VPMpc,0.0083345433
SSp-tr,CUN,9.54945801859095e-05
VCO,EPd,0.0001631608
DMH,DR,0.0369926192
RSPv,AOB,0.0003591672
VISal,VTA,0.0001527197
DMH,CLI,0.012117599
IP,V,0.0026860383
RN,AMB,0.0756560918
MEA,SSp-ul,0.0002560645
FN,ACAv,0.0037489394
LRN,VM,0.0236520967
TU,LA,0.0779971508
CUL,BMA,0.0002633661
MEA,COAa,0.0008754955
ICc,NDB,0.0003787067
VTA,TRN,0.0482081321
CENT,LSr,0.000172845
NTS,VISal,0.0002829402
MOp,PFL,0.0001314013
DCO,CENT,0.1277824086
PMd,RSPd,0.0061392817
AN,ACB,6.10234090283957e-07
SSp-n,MV,0.000348607
AUDd,EPv,0.0001886694
MGv,AIp,0.0004124382
DMH,MGd,0.0014852481
IRN,PGRNd,0.0017554827
AHN,MM,0.000976975
PP,PA,0.0025276258
PB,SF,1.01611463040116e-05
MOs,SPVI,0.0022630292
TRN,NOD,0.022800661
NTS,PL,0.0007489057
MRN,RR,0.0107601876
SPVI,MV,0.0125597951
PB,CENT,0.0258603027
IA,FRP,0.0021717905
VISC,PB,0.0159074425
CA1,MA,6.18743672485421e-05
RM,PGRNd,0.014590097
TT,MGd,7.64342385030736e-06
SPVC,CP,0.0088857694
AN,PRP,9.92352848013071e-06
SSs,VPL,3.7748056218481e-05
SNc,AMd,0.0087356375
SSp-n,SUBd,0.0001073697
ICe,MEA,0.0008097502
AUDd,AAA,0.00058902
CA3,AD,0.0076368091
MOs,TT,0.0140641457
SSp-m,VAL,0.0136440939
RT,CL,0.0002398958
SCm,CM,0.0105207122
PSV,AAA,0.0089954172
DCO,VPL,0.0303204959
PRNc,SSp-m,0.0004658313
MGd,IO,0.0009248393
ICe,OT,0.0013650823
LGd,PGRNl,0.0003211135
DR,AON,0.004126943
AON,FL,3.53815947157733e-05
